Time [s]	Whole Image
6.799	203.6
6.809	204.06
6.819	203.55
6.83	203.86
6.84	203.64
6.85	203.58
6.861	203.73
6.871	203.8
6.881	203.86
6.892	203.61
6.902	203.74
6.912	203.73
6.923	203.56
6.933	203.89
6.943	203.84
6.954	203.83
6.964	203.61
6.974	203.49
6.985	203.64
6.995	203.42
7.005	203.37
7.016	203.49
7.026	203.68
7.036	203.57
7.047	203.32
7.057	203.61
7.067	203.2
7.078	203.44
7.088	203.16
7.098	203.24
7.109	203.23
7.119	203.32
7.134	202.94
7.145	203.34
7.155	206.21
7.165	212.83
7.175	218.13
7.186	221.83
7.196	225.04
7.206	227.88
7.217	230.57
7.227	232.61
7.237	234.24
7.248	235.98
7.258	237.69
7.268	239.08
7.279	239.72
7.289	239.62
7.299	240.21
7.31	239.85
7.32	239.75
7.33	239.27
7.341	238.52
7.351	238.27
7.361	237.8
7.372	237.02
7.382	236.59
7.392	236.07
7.403	235.12
7.413	234.51
7.423	234.32
7.434	233.58
7.444	233.13
7.454	232.26
7.47	231.22
7.48	230.99
7.49	230.06
7.501	229.66
7.511	228.97
7.521	228.96
7.532	228.12
7.542	227.7
7.552	226.96
7.563	226.74
7.573	226
7.583	225.79
7.593	225.24
7.604	224.66
7.614	224.34
7.624	223.6
7.635	223.47
7.645	223.05
7.655	222.67
7.666	222.13
7.676	221.61
7.686	221.19
7.696	221.08
7.707	220.68
7.717	220.39
7.727	219.9
7.738	219.77
7.748	218.97
7.758	218.48
7.769	218.25
7.779	218.16
7.789	217.63
7.805	217.07
7.815	216.68
7.825	216.63
7.836	216.64
7.846	216.44
7.856	215.85
7.867	215.62
7.877	215.36
7.887	215.01
7.898	215.01
7.908	214.36
7.918	214.25
7.929	214.27
7.939	214.07
7.949	213.69
7.96	213.46
7.97	213.4
7.98	213.37
7.99	212.79
8.001	212.5
8.011	212.66
8.021	212.6
8.032	212.21
8.042	211.95
8.052	211.93
8.063	211.16
8.073	211.47
8.083	211.13
8.094	211.3
8.104	211.11
8.114	210.56
8.125	210.42
8.14	209.89
8.15	209.85
8.161	209.71
8.171	209.97
8.181	209.61
8.192	209.89
8.202	209.56
8.212	209.59
8.222	209.68
8.233	209.51
8.243	209.05
8.253	208.81
8.264	208.66
8.274	208.79
8.284	208.75
8.295	208.33
8.305	207.98
8.315	208.35
8.326	208.62
8.336	208.02
8.346	208.15
8.356	207.51
8.367	208.11
8.377	207.61
8.387	207.74
8.398	207.27
8.408	207.42
8.418	207.08
8.429	207.14
8.439	207.24
8.449	207.34
8.46	206.81
8.475	206.49
8.486	207.02
8.496	206.88
8.506	206.9
8.517	206.63
8.527	206.32
8.537	206.54
8.547	206.52
8.558	206.07
8.568	206.2
8.578	206.01
8.589	205.84
8.599	206.27
8.609	206.1
8.62	206.21
8.63	205.76
8.64	205.83
8.651	205.74
8.661	205.42
8.671	205.54
8.682	205.86
8.692	205.94
8.702	205.37
8.712	205.47
8.723	205.32
8.733	205.34
8.743	205.3
8.754	205.53
8.764	205.53
8.774	205.33
8.785	205.46
8.795	205.12
8.81	204.87
8.821	205
8.831	204.86
8.841	205.05
8.852	205.27
8.862	204.92
8.872	204.53
8.883	204.87
8.893	204.81
8.903	205.01
8.913	204.96
8.924	204.81
8.934	204.57
8.944	204.05
8.955	204.62
8.965	204.56
8.975	204.48
8.986	204.21
8.996	204.15
9.006	204.38
9.017	204.28
9.027	204.37
9.037	204.5
9.047	203.97
9.058	204.29
9.068	204.71
9.078	203.94
9.089	204.28
9.099	203.93
9.109	204.38
9.12	204.37
9.13	204.16
9.145	203.99
9.156	203.89
9.166	203.65
9.176	203.96
9.187	203.92
9.197	204.28
9.207	204.08
9.218	204.18
9.228	203.75
9.238	204.11
9.248	203.69
9.259	203.78
9.269	203.96
9.279	203.79
9.29	203.69
9.3	203.66
9.31	203.61
9.321	203.74
9.331	203.7
9.341	203.53
9.352	203.47
9.362	203.76
9.372	203.86
9.383	203.8
9.393	203.85
9.403	203.88
9.414	203.67
9.424	203.59
9.434	203.6
9.444	203.53
9.455	203.57
9.465	203.67
9.481	203.13
9.491	203.21
9.501	203.82
9.512	203.02
9.522	203.44
9.532	203.28
9.542	203.25
9.553	203.33
9.563	203.4
9.573	203.49
9.584	203.33
9.594	203.15
9.604	203.4
9.615	203.4
9.625	203.24
9.635	203.43
9.645	203.25
9.656	206.73
9.666	213.37
9.677	217.78
9.687	221.15
9.697	224.39
9.708	227.76
9.718	230.04
9.728	232.59
9.739	234.46
9.749	236.14
9.759	237.27
9.77	238.87
9.78	239.25
9.79	239.72
9.8	239.9
9.816	239.2
9.826	238.91
9.836	238.93
9.847	237.92
9.857	237.56
9.867	236.65
9.878	236.55
9.888	236.02
9.898	235.43
9.909	234.73
9.919	234.06
9.929	233.36
9.94	232.85
9.95	232.14
9.96	232.09
9.971	231.81
9.981	230.57
9.991	229.73
10.002	229.95
10.012	229.18
10.022	228.62
10.032	227.99
10.043	226.93
10.053	226.97
10.063	226.62
10.074	226.06
10.084	225.51
10.094	225.1
10.105	224.5
10.115	224.16
10.125	223.66
10.136	223.43
10.151	222.37
10.161	221.9
10.172	221.69
10.182	221.53
10.192	220.86
10.203	220.48
10.213	220.5
10.223	219.66
10.234	219.89
10.244	219.22
10.254	219.14
10.264	218.59
10.275	218.32
10.285	218.03
10.295	217.62
10.306	217.21
10.316	217.25
10.326	216.64
10.337	216.6
10.347	216.23
10.357	216.09
10.368	215.57
10.378	215.44
10.388	215.12
10.399	214.91
10.409	214.28
10.419	214.56
10.43	214.26
10.44	214.19
10.45	213.43
10.461	213.38
10.471	213.5
10.486	212.61
10.497	212.77
10.507	212.88
10.517	212.47
10.528	212.21
10.538	212.23
10.548	212.25
10.559	211.84
10.569	211.66
10.579	211.48
10.589	210.86
10.6	210.79
10.61	211.02
10.62	211.18
10.631	210.7
10.641	210.79
10.651	210.39
10.662	210.59
10.672	210.02
10.682	210.07
10.693	209.88
10.703	209.73
10.713	209.59
10.724	209.34
10.734	209.33
10.744	209.28
10.755	209.01
10.765	209.29
10.775	208.93
10.785	208.66
10.796	209.07
10.806	208.85
10.821	207.91
10.832	208.63
10.842	208.13
10.852	208.11
10.863	208.21
10.873	207.95
10.883	207.77
10.894	207.99
10.904	207.56
10.914	207.74
10.925	207.72
10.935	207.56
10.945	207.04
10.955	206.87
10.966	206.96
10.976	206.92
10.986	207.18
10.997	206.75
11.007	206.88
11.017	206.97
11.028	206.7
11.038	206.69
11.048	206.54
11.059	206.65
11.069	206.69
11.079	206.1
11.089	206.01
11.1	206.23
11.11	206.5
11.12	206.01
11.131	206.17
11.141	206.25
11.156	205.68
11.167	205.7
11.177	205.7
11.187	205.68
11.198	205.82
11.208	205.64
11.218	205.74
11.229	205.35
11.239	205.55
11.249	205.08
11.259	205.5
11.27	205.45
11.28	205.46
11.29	205.27
11.301	205.17
11.311	205.01
11.321	204.9
11.332	205.33
11.342	205.09
11.352	205.23
11.363	205.26
11.373	205.04
11.383	204.99
11.394	205.19
11.404	204.97
11.414	204.62
11.425	204.78
11.435	204.87
11.445	204.49
11.455	204.32
11.466	204.87
11.476	204.5
11.492	204.59
11.502	204.1
11.512	204.36
11.523	204.49
11.533	204.68
11.543	204.66
11.554	204.68
11.564	204.54
11.574	204.16
11.585	204.59
11.595	204.36
11.605	204.05
11.616	204.44
11.626	204.1
11.636	203.98
11.647	204.42
11.657	204.3
11.667	203.98
11.678	203.56
11.688	204.1
11.698	204.19
11.709	204.22
11.719	204.35
11.729	204.31
11.739	204.04
11.75	203.99
11.76	204.17
11.77	203.85
11.781	203.95
11.791	203.73
11.802	204.02
11.812	203.75
11.827	203.64
11.837	203.77
11.848	203.91
11.858	203.97
11.868	203.52
11.879	203.65
11.889	203.33
11.899	203.86
11.91	203.71
11.92	203.85
11.93	203.64
11.941	203.35
11.951	203.69
11.961	203.4
11.972	203.61
11.982	203.54
11.992	203.54
12.003	203.66
12.013	203.39
12.023	203.51
12.033	203.63
12.044	203.74
12.054	203.66
12.065	203.84
12.075	203.38
12.085	203.34
12.095	203.79
12.106	203.39
12.116	203.31
12.126	203.33
12.137	203.61
12.147	204.03
12.162	210.61
12.173	216.03
12.183	220.07
12.193	223.1
12.204	226.26
12.214	229.42
12.224	231.17
12.235	233.72
12.245	235.12
12.255	236.53
12.266	238.16
12.276	238.93
12.286	238.97
12.296	239.97
12.307	239.07
12.317	238.77
12.327	238.74
12.338	238.39
12.348	237.91
12.358	237.55
12.369	237.07
12.379	236.09
12.389	235.55
12.4	235.12
12.41	234.34
12.42	234.13
12.43	233.7
12.441	232.82
12.451	232.07
12.461	231.42
12.472	230.92
12.482	230.68
12.497	229.82
12.508	229.23
12.518	228.82
12.528	228.02
12.538	227.94
12.549	227.52
12.559	226.56
12.569	225.95
12.58	225.81
12.59	225.22
12.6	224.5
12.611	224.07
12.621	223.65
12.631	223.07
12.642	222.87
12.652	222.71
12.662	222.17
12.673	221.55
12.683	221.22
12.693	220.96
12.704	220.74
12.714	220.35
12.724	219.82
12.735	219.35
12.745	218.94
12.755	218.86
12.765	218.49
12.776	218.51
12.786	217.63
12.796	217.42
12.807	216.97
12.817	216.88
12.832	216.16
12.843	216.08
12.853	216.09
12.863	215.74
12.874	215.01
12.884	215.7
12.894	214.56
12.905	214.13
12.915	214.2
12.925	213.99
12.935	213.86
12.946	214
12.956	213.26
12.966	213.15
12.977	213.19
12.987	212.78
12.997	212.54
13.008	212.44
13.018	211.82
13.028	212.07
13.039	211.92
13.049	211.55
13.059	211.35
13.07	211.21
13.08	211.27
13.09	210.95
13.1	210.61
13.111	210.83
13.121	210.55
13.131	210.7
13.142	209.76
13.152	210.32
13.168	209.57
13.178	209.62
13.188	209.82
13.199	209.48
13.209	209.53
13.219	209.11
13.23	209.18
13.24	209.38
13.25	209.43
13.261	208.96
13.271	208.84
13.281	208.43
13.291	208.48
13.302	208.31
13.312	208.51
13.322	208.13
13.333	208.17
13.343	207.99
13.353	207.65
13.364	207.88
13.374	207.7
13.384	207.86
13.395	207.89
13.405	207.32
13.415	207.52
13.426	207.35
13.436	207.18
13.446	206.96
13.457	207.25
13.467	206.85
13.477	206.84
13.488	206.71
13.503	206.4
13.513	206.62
13.524	206.61
13.534	206.29
13.544	206.81
13.555	206.55
13.565	206.62
13.575	206.53
13.586	206.2
13.596	205.84
13.606	206.47
13.617	206.22
13.627	205.98
13.637	206.05
13.648	205.7
13.658	205.94
13.668	205.56
13.679	205.68
13.689	205.61
13.699	205.84
13.71	205.58
13.72	205.49
13.73	205.41
13.741	205.15
13.751	205.65
13.761	205.28
13.772	205.4
13.782	205.32
13.792	204.96
13.802	205.19
